timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1658568225717,880,HTTP Request-0,301,Moved Permanently,HomePAge 1-13,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,880,0,290
1658568226598,4479,HTTP Request-1,200,OK,HomePAge 1-13,text,true,,9799,179,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,4479,0,3546
1658568226970,4165,Cart,200,OK,HomePAge 1-6,text,true,,109405,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1377,0,0
1658568226970,1377,Cart-0,301,Moved Permanently,HomePAge 1-6,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1377,0,0
1658568228347,2788,Cart-1,200,OK,HomePAge 1-6,text,true,,109013,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1317,0,0
1658568228531,2724,Cart,200,OK,HomePAge 1-9,text,true,,111657,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1165,0,0
1658568228531,1165,Cart-0,301,Moved Permanently,HomePAge 1-9,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1165,0,0
1658568229696,1559,Cart-1,200,OK,HomePAge 1-9,text,true,,111265,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,833,0,0
1658568229901,1579,HTTP Request,200,OK,HomePAge 1-7,text,true,,10231,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,778,0,0
1658568229901,778,HTTP Request-0,301,Moved Permanently,HomePAge 1-7,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,778,0,0
1658568230680,800,HTTP Request-1,200,OK,HomePAge 1-7,text,true,,9839,179,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,800,0,0
1658568230193,1588,HTTP Request,200,OK,HomePAge 1-16,text,true,,10191,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,926,0,0
1658568230193,926,HTTP Request-0,301,Moved Permanently,HomePAge 1-16,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,926,0,0
1658568231119,662,HTTP Request-1,200,OK,HomePAge 1-16,text,true,,9799,179,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,662,0,0
1658568225978,5918,Homepage,200,OK,HomePAge 1-14,text,true,,370308,236,20,20,https://www.flipkart.com/,340,0,0
1658568225978,340,Homepage-0,301,Moved Permanently,HomePAge 1-14,text,true,,347,118,20,20,http://www.flipkart.com/,340,0,0
1658568226318,5578,Homepage-1,200,OK,HomePAge 1-14,text,true,,369961,118,20,20,https://www.flipkart.com/,1043,0,0
1658568225945,5991,Homepage,200,OK,HomePAge 1-5,text,true,,368988,236,20,20,https://www.flipkart.com/,345,0,0
